statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08128KRSI;Main-Tauber-Kreis, Landkreis;102;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08128KRSI;Main-Tauber-Kreis, Landkreis;1304121947;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08125KRSI;Heilbronn, Landkreis;322;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08125KRSI;Heilbronn, Landkreis;1099911793;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08327KRSI;Tuttlingen, Landkreis;196;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08327KRSI;Tuttlingen, Landkreis;734381905;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08337KRSI;Waldshut, Landkreis;151;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08337KRSI;Waldshut, Landkreis;1131149633;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08118KRSI;Ludwigsburg, Landkreis;775;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08118KRSI;Ludwigsburg, Landkreis;686771382;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08425KRSI;Alb-Donau-Kreis, Landkreis;149;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08425KRSI;Alb-Donau-Kreis, Landkreis;1358544700;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08221KRSI;Heidelberg, Stadtkreis;1420;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08221KRSI;Heidelberg, Stadtkreis;108831378;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;KRSI;Kreise;08311KRSI;Freiburg im Breisgau, Stadtkreis;1536;EW/km²;FLC106;Bevölkerungsdichte
